"TOP 15","Song Name","Streams","Artist","Artist Followers","Genre","Release Date","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Duration (ms)","Valence","Chord"
0,"Gimme Love","7,471,309","Joji",4759367,"['alternative r&b', 'viral pop']","2020-04-16",69,0.482,0.631,-6.917,0.0986,0.696,0.209,126.576,214558,0.0743,"F"
0,"Ew","6,936,305","Joji",4759367,"['alternative r&b', 'viral pop']","2020-09-25",67,0.48,0.373,-9.297,0.0278,0.804,0.12,114.078,207710,0.0376,"A#/Bb"
0,"Daylight","6,819,838","Joji, Diplo",4759367,"['alternative r&b', 'viral pop']","2020-08-06",72,0.528,0.749,-7.571,0.0479,0.00488,0.0949,163.944,163906,0.729,"G"
0,"Epidemic","6,292,620","Polo G",4849204,"['chicago rap']","2020-09-25",71,0.616,0.617,-8.431,0.52,0.128,0.177,175.929,177273,0.476,"C#/Db"
0,"bloody valentine","6,032,935","Machine Gun Kelly",3868320,"['ohio hip hop', 'pop rap']","2020-09-25",77,0.533,0.858,-4.212,0.0766,0.00021,0.148,160.057,205159,0.506,"D"
0,"MODUS","6,013,371","Joji",4759367,"['alternative r&b', 'viral pop']","2020-09-25",66,0.738,0.533,-7.617,0.0492,0.183,0.115,132.008,207265,0.262,"G"
0,"Tick Tock","5,547,939","Joji",4759367,"['alternative r&b', 'viral pop']","2020-09-25",65,0.781,0.613,-5.582,0.0524,0.0399,0.0976,80.53,132215,0.613,"E"
0,"Sanctuary","5,482,390","Joji",4759367,"['alternative r&b', 'viral pop']","2019-06-14",69,0.552,0.65,-7.199,0.128,0.422,0.372,167.788,180019,0.316,"C#/Db"
0,"feel something","5,463,424","Bea Miller",2396662,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rap', 'post-teen pop', 'talent show']","2019-06-21",75,0.74,0.415,-8.914,0.0707,0.242,0.319,136.029,180161,0.156,"C"
0,"Tap In","5,220,309","Saweetie",1255573,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']","2020-06-17",73,0.954,0.696,-7.117,0.204,0.00576,0.0754,100.036,139413,0.432,"A#/Bb"
